"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
5,0.36,0.42,0.09,236,-0.67,0.236,999,"828",-0.01
10,0.41,0.6,0.08,13,-2.23,0.013,999,"748",-0.14
10,0.4,0.59,0.08,8,-2.33,0.008,999,"708",-0.15
4,0.31,0.38,0.09,248,-0.76,0.248,999,"232",-0.02
10,0.69,0.59,0.08,844,1.1,0.844,999,"352",0.14
2,0.2,0.27,0.08,226.5,-0.86,0.2265,999,"908",-0.06
7,0.39,0.5,0.09,111,-1.26,0.111,999,"667",-0.05
14,0.65,0.7,0.08,283,-0.67,0.283,999,"668",-0.04
6,0.54,0.47,0.09,787,0.79,0.787,999,"669",0.13
4,0.42,0.38,0.09,709,0.44,0.709,999,"391",0.09
9,0.65,0.56,0.09,806,0.95,0.806,999,"351",0.14
3,0.3,0.33,0.09,426,-0.25,0.426,999,"152",0.01
5,0.21,0.42,0.09,3,-2.28,0.003,999,"589",-0.16
4,0.37,0.38,0.09,411.5,-0.13,0.4115,999,"709",0.03
1,0.16,0.17,0.03,203,-0.61,0.203,999,"867",-0.07
3,0.34,0.33,0.09,524.5,0.11,0.5245,999,"906",0.04
6,0.57,0.47,0.09,864,1.19,0.864,999,"501",0.17
2,0.31,0.26,0.08,682,0.65,0.682,999,"382",0.05
3,0.34,0.32,0.09,559.5,0.19,0.5595,999,"509",0.05
2,0.17,0.26,0.08,52.5,-1.15,0.0525,999,"510",-0.09
6,0.38,0.46,0.09,165,-0.87,0.165,999,"788",-0.02
5,0.35,0.42,0.09,207,-0.86,0.207,999,"823",-0.02
1,0.16,0.17,0.03,349.5,-0.44,0.3495,999,"549",-0.06
2,0.21,0.26,0.08,282.5,-0.72,0.2825,999,"670",-0.05
2,0.35,0.26,0.08,902,1.13,0.902,999,"312",0.09
1,0.29,0.18,0.03,982.5,3.96,0.9825,999,"422",0.06
1,0.17,0.17,0.03,746,-0.01,0.746,999,"311",-0.05
