"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
13,0.38,0.35,0.03,849,1.07,0.849,999,"708",0.08
6,0.25,0.21,0.02,940,1.57,0.94,999,"823",0.07
9,0.29,0.27,0.03,693,0.44,0.693,999,"748",0.06
6,0.16,0.21,0.02,36,-1.94,0.036,999,"828",-0.01
6,0.18,0.21,0.02,155,-1.06,0.155,999,"391",0.01
6,0.16,0.21,0.02,30,-1.88,0.03,999,"581",-0.01
3,0.13,0.13,0.02,548,-0.06,0.548,999,"499",0.01
5,0.15,0.18,0.02,89,-1.33,0.089,999,"667",0
8,0.2,0.25,0.03,38,-1.82,0.038,999,"541",-0.01
6,0.18,0.21,0.02,155,-1.06,0.155,999,"351",0.01
7,0.21,0.23,0.03,224,-0.73,0.224,999,"589",0.02
14,0.37,0.36,0.03,532,0.09,0.532,999,"668",0.04
24,0.51,0.52,0.04,402,-0.23,0.402,999,"501",0
6,0.17,0.21,0.03,126,-1.25,0.126,999,"502",0
10,0.22,0.29,0.03,5,-2.57,0.005,999,"382",-0.03
3,0.1,0.13,0.02,71,-1.63,0.071,999,"152",-0.02
2,0.1,0.09,0.01,749.5,0.65,0.7495,999,"381",0.01
22,0.37,0.49,0.04,1,-3.34,0.001,999,"422",-0.11
1,0.05,0.05,0,75,-1.85,0.075,999,"510",-0.02
2,0.1,0.09,0.01,951,0.84,0.951,999,"470",0.01
1,0.05,0.05,0,75,-1.85,0.075,999,"550",-0.02
2,0.09,0.09,0.01,331,-0.33,0.331,999,"232",-0.01
3,0.11,0.13,0.02,187,-0.68,0.187,999,"462",0
3,0.12,0.13,0.02,239,-0.58,0.239,999,"430",0
4,0.14,0.16,0.02,281,-0.68,0.281,999,"707",0.01
3,0.14,0.13,0.02,774,0.7,0.774,999,"352",0.02
5,0.16,0.18,0.02,141,-1.16,0.141,999,"788",0
1,0.05,0.05,0,991,1.79,0.991,999,"906",-0.02
2,0.09,0.09,0.01,304,-0.49,0.304,999,"392",-0.01
1,0.05,0.05,0,605.5,0.44,0.6055,999,"549",-0.02
1,0.05,0.05,0,262.5,-0.37,0.2625,999,"863",-0.02
1,0.05,0.05,0,475,-0.12,0.475,999,"312",-0.02
3,0.13,0.13,0.02,528,-0.1,0.528,999,"827",0.01
1,0.05,0.05,0,471.5,-0.12,0.4715,999,"709",-0.02
3,0.15,0.13,0.02,997,1.47,0.997,999,"782",0.04
1,0.05,0.05,0,595.5,0.52,0.5955,999,"311",-0.02
