"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
2,0.16,0.17,0.02,407.5,-0.04,0.4075,999,"867",-0.01
11,0.27,0.35,0.05,12,-1.48,0.012,999,"422",-0.03
7,0.35,0.28,0.04,912,1.86,0.912,999,"233",0.12
14,0.31,0.4,0.06,15,-1.44,0.015,999,"667",-0.03
37,0.59,0.69,0.07,106,-1.37,0.106,999,"668",-0.06
28,0.49,0.58,0.08,103,-1.26,0.103,999,"708",-0.04
8,0.27,0.29,0.05,401,-0.44,0.401,999,"788",0.02
3,0.17,0.19,0.03,59,-0.96,0.059,999,"588",-0.02
8,0.27,0.29,0.05,347,-0.48,0.347,999,"709",0.02
14,0.36,0.4,0.06,305,-0.65,0.305,999,"351",0.02
4,0.18,0.21,0.03,53,-1.09,0.053,999,"549",-0.02
5,0.32,0.24,0.04,935,2.3,0.935,999,"232",0.11
13,0.32,0.38,0.06,78,-1.06,0.078,999,"589",0
18,0.4,0.45,0.07,267,-0.76,0.267,999,"501",0.02
24,0.46,0.53,0.07,167,-1.02,0.167,999,"748",-0.01
11,0.26,0.35,0.05,4,-1.59,0.004,999,"391",-0.03
14,0.35,0.4,0.06,288,-0.69,0.288,999,"828",0.02
4,0.18,0.22,0.04,43,-0.98,0.043,999,"541",-0.01
14,0.36,0.39,0.06,395,-0.49,0.395,999,"669",0.03
15,0.4,0.41,0.06,564,-0.11,0.564,999,"352",0.06
7,0.26,0.28,0.04,380,-0.45,0.38,999,"823",0.02
1,0.13,0.13,0,375,-0.3,0.375,999,"824",-0.02
4,0.19,0.21,0.03,97,-0.83,0.097,999,"311",-0.01
3,0.17,0.19,0.03,126,-0.78,0.126,999,"502",-0.01
3,0.19,0.19,0.03,500,-0.19,0.5,999,"510",0
3,0.19,0.19,0.03,723,-0.01,0.723,999,"499",0.01
1,0.13,0.13,0,695.5,0.17,0.6955,999,"591",-0.02
2,0.17,0.17,0.02,522,0.04,0.522,999,"469",0
1,0.13,0.13,0,43.5,-1.72,0.0435,999,"628",-0.02
4,0.19,0.22,0.03,134,-0.75,0.134,999,"581",-0.01
4,0.2,0.21,0.03,234,-0.57,0.234,999,"908",0
5,0.22,0.24,0.04,255,-0.54,0.255,999,"627",0.01
5,0.21,0.24,0.04,124,-0.84,0.124,999,"827",-0.01
10,0.37,0.33,0.05,814,0.79,0.814,999,"312",0.09
5,0.18,0.24,0.04,5,-1.57,0.005,999,"430",-0.03
6,0.22,0.26,0.04,66,-0.98,0.066,999,"382",-0.01
1,0.13,0.13,0,110.5,-1,0.1105,999,"381",-0.02
6,0.28,0.26,0.04,794,0.39,0.794,999,"470",0.05
2,0.16,0.17,0.02,269,-0.47,0.269,999,"550",-0.01
1,0.13,0.13,0,529,-0.15,0.529,999,"193",-0.02
3,0.17,0.19,0.03,112,-0.79,0.112,999,"707",-0.01
1,0.13,0.13,0,423.5,-0.34,0.4235,999,"271",-0.02
2,0.18,0.17,0.02,925,0.57,0.925,999,"152",0.01
5,0.2,0.24,0.04,43,-1.06,0.043,999,"392",-0.01
3,0.19,0.19,0.03,527,-0.17,0.527,999,"390",0
4,0.2,0.21,0.03,234,-0.57,0.234,999,"906",0
2,0.17,0.17,0.02,572,0.03,0.572,999,"822",0
1,0.13,0.13,0,375,-0.3,0.375,999,"787",-0.02
2,0.21,0.17,0.02,947.5,1.77,0.9475,999,"272",0.04
1,0.13,0.13,0,593.5,0.03,0.5935,999,"500",-0.02
1,0.13,0.13,0,423.5,-0.34,0.4235,999,"471",-0.02
1,0.13,0.13,0,814.5,1.14,0.8145,999,"269",-0.02
3,0.17,0.19,0.03,93.5,-0.87,0.0935,999,"270",-0.02
2,0.18,0.17,0.02,914,0.51,0.914,999,"473",0.01
1,0.13,0.13,0,592.5,0.01,0.5925,999,"353",-0.02
4,0.2,0.22,0.03,222,-0.58,0.222,999,"782",0
