"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
13,0.67,0.62,0.07,784,0.77,0.784,999,"668",0.07
10,0.41,0.53,0.08,52,-1.64,0.052,999,"391",-0.08
13,0.42,0.62,0.08,5,-2.65,0.005,999,"351",-0.18
15,0.78,0.67,0.07,922,1.46,0.922,999,"501",0.1
5,0.18,0.34,0.07,21,-2.28,0.021,999,"232",-0.12
6,0.4,0.39,0.07,556,0.19,0.556,999,"708",0.06
10,0.3,0.52,0.08,1,-2.96,0.001,999,"352",-0.19
8,0.28,0.46,0.07,12,-2.47,0.012,999,"312",-0.14
9,0.57,0.5,0.08,827,0.94,0.827,999,"748",0.12
3,0.3,0.25,0.05,769.5,1.02,0.7695,999,"589",0.07
3,0.15,0.25,0.05,78.5,-1.8,0.0785,999,"233",-0.07
6,0.43,0.38,0.07,762,0.69,0.762,999,"667",0.09
1,0.11,0.11,0,742.5,0.2,0.7425,999,"502",-0.03
3,0.14,0.24,0.05,63.5,-1.91,0.0635,999,"392",-0.08
3,0.23,0.25,0.05,382,-0.32,0.382,999,"669",0
2,0.14,0.19,0.03,168.5,-1.5,0.1685,999,"152",-0.05
2,0.21,0.19,0.03,827.5,0.75,0.8275,999,"430",0.03
2,0.21,0.19,0.04,718.5,0.78,0.7185,999,"703",0.03
6,0.42,0.39,0.07,690,0.51,0.69,999,"823",0.08
9,0.57,0.5,0.08,836,0.98,0.836,999,"828",0.12
3,0.3,0.25,0.05,768.5,1.04,0.7685,999,"422",0.07
1,0.11,0.11,0,742.5,0.2,0.7425,999,"230",-0.03
3,0.3,0.25,0.05,770.5,1.02,0.7705,999,"788",0.07
2,0.21,0.19,0.03,481.5,0.61,0.4815,999,"541",0.02
2,0.21,0.19,0.03,550,0.6,0.55,999,"581",0.02
1,0.11,0.11,0,742.5,0.2,0.7425,999,"381",-0.03
2,0.21,0.19,0.04,864,0.76,0.864,999,"470",0.03
2,0.2,0.19,0.03,373,0.42,0.373,999,"867",0.02
1,0.11,0.11,0,140,-1.67,0.14,999,"500",-0.03
3,0.31,0.25,0.05,868.5,1.26,0.8685,999,"709",0.09
1,0.11,0.11,0,742.5,0.2,0.7425,999,"587",-0.03
1,0.11,0.11,0,570.5,0.16,0.5705,999,"666",-0.03
3,0.15,0.25,0.05,84.5,-1.77,0.0845,999,"193",-0.07
1,0.11,0.11,0,928.5,1.81,0.9285,999,"272",-0.03
5,0.42,0.35,0.06,862,1.13,0.862,999,"782",0.12
