"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
19,0.36,0.31,0.03,936,1.53,0.936,999,"748",0.09
13,0.17,0.24,0.03,1,-2.94,0.001,999,"581",-0.04
6,0.12,0.14,0.02,89,-1.41,0.089,999,"499",-0.02
18,0.2,0.3,0.03,1,-3.47,0.001,999,"382",-0.06
29,0.3,0.41,0.03,1,-3.66,0.001,999,"422",-0.07
22,0.38,0.34,0.03,887,1.21,0.887,999,"668",0.08
12,0.24,0.23,0.02,622,0.31,0.622,999,"232",0.04
19,0.31,0.31,0.03,418,-0.23,0.418,999,"351",0.04
8,0.2,0.17,0.02,897,1.22,0.897,999,"392",0.05
16,0.33,0.28,0.03,972,1.86,0.972,999,"589",0.09
13,0.2,0.24,0.03,59,-1.56,0.059,999,"667",0
16,0.24,0.28,0.03,80,-1.4,0.08,999,"708",0
7,0.16,0.16,0.02,582,0.23,0.582,999,"391",0.02
7,0.18,0.16,0.02,875,1.11,0.875,999,"430",0.04
15,0.26,0.27,0.03,427,-0.22,0.427,999,"352",0.04
14,0.23,0.25,0.03,125,-1.14,0.125,999,"541",0.01
9,0.14,0.19,0.02,28,-1.99,0.028,999,"823",-0.02
57,0.58,0.64,0.03,24,-2.06,0.024,999,"501",-0.09
13,0.22,0.24,0.03,185,-0.89,0.185,999,"828",0.01
2,0.07,0.07,0.01,554.5,0.11,0.5545,999,"582",-0.02
6,0.14,0.14,0.02,449,-0.12,0.449,999,"502",0.01
8,0.15,0.17,0.02,142,-1.1,0.142,999,"788",0
11,0.21,0.22,0.02,443,-0.13,0.443,999,"152",0.03
6,0.11,0.14,0.02,66,-1.56,0.066,999,"381",-0.02
2,0.07,0.07,0.01,353,0.05,0.353,999,"588",-0.02
7,0.19,0.16,0.02,942,1.57,0.942,999,"230",0.05
7,0.18,0.16,0.02,909,1.22,0.909,999,"271",0.04
4,0.08,0.11,0.01,31,-2.04,0.031,999,"627",-0.03
11,0.26,0.22,0.02,981,1.99,0.981,999,"311",0.08
5,0.14,0.13,0.02,730,0.66,0.73,999,"312",0.01
7,0.13,0.16,0.02,110,-1.26,0.11,999,"390",-0.01
3,0.09,0.09,0.01,392,-0.07,0.392,999,"461",-0.01
3,0.07,0.09,0.01,27,-1.97,0.027,999,"709",-0.03
2,0.07,0.07,0.01,412,0.01,0.412,999,"462",-0.02
3,0.11,0.09,0.01,971,2.02,0.971,999,"669",0.01
2,0.06,0.07,0.01,148,-0.76,0.148,999,"272",-0.03
1,0.04,0.04,0,616,0.3,0.616,999,"703",-0.04
2,0.05,0.07,0.01,53,-2.17,0.053,999,"707",-0.04
3,0.1,0.09,0.01,742,0.79,0.742,999,"470",0
1,0.04,0.04,0,490,0.02,0.49,999,"500",-0.04
1,0.04,0.04,0,169.5,-1.01,0.1695,999,"389",-0.04
4,0.14,0.11,0.01,974,2.06,0.974,999,"510",0.03
3,0.09,0.09,0.01,428,0.02,0.428,999,"469",-0.01
2,0.08,0.07,0.01,832.5,0.95,0.8325,999,"353",-0.02
3,0.12,0.09,0.01,994,2.55,0.994,999,"270",0.02
2,0.07,0.07,0.01,592,0.04,0.592,999,"827",-0.02
2,0.06,0.07,0.01,177.5,-0.51,0.1775,999,"822",-0.03
3,0.08,0.09,0.01,306,-0.39,0.306,999,"782",-0.02
1,0.04,0.04,0,290,-0.33,0.29,999,"906",-0.04
