"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
7,0.5,0.58,0.07,142.5,-1.1,0.1425,999,"708",-0.04
2,0.24,0.26,0.04,270.5,-0.45,0.2705,999,"391",0
9,0.77,0.69,0.07,853.5,1.02,0.8535,999,"748",0.11
9,0.58,0.69,0.07,64.5,-1.51,0.0645,999,"668",-0.08
2,0.24,0.26,0.04,270.5,-0.45,0.2705,999,"352",0
3,0.31,0.33,0.05,307,-0.49,0.307,999,"667",0.01
2,0.24,0.26,0.04,270.5,-0.45,0.2705,999,"351",0
1,0.18,0.18,0,702.5,0.05,0.7025,999,"588",0
3,0.32,0.33,0.05,577.5,-0.26,0.5775,999,"501",0.02
2,0.24,0.26,0.04,294.5,-0.44,0.2945,999,"382",0
1,0.18,0.18,0,702.5,0.05,0.7025,999,"271",0
3,0.29,0.33,0.05,151.5,-0.69,0.1515,999,"823",0
1,0.18,0.18,0,702.5,0.05,0.7025,999,"908",0
2,0.24,0.26,0.04,294.5,-0.44,0.2945,999,"581",0
3,0.29,0.33,0.05,124,-0.81,0.124,999,"589",-0.01
2,0.24,0.26,0.04,270.5,-0.45,0.2705,999,"867",0
1,0.18,0.18,0,702.5,0.05,0.7025,999,"788",0
2,0.24,0.26,0.04,254.5,-0.42,0.2545,999,"422",0
1,0.18,0.18,0,906,1.19,0.906,999,"461",0
1,0.18,0.18,0,702.5,0.05,0.7025,999,"906",0
4,0.34,0.39,0.06,138,-0.91,0.138,999,"669",-0.02
1,0.18,0.18,0,702.5,0.05,0.7025,999,"392",0
2,0.24,0.26,0.04,270.5,-0.45,0.2705,999,"312",0
1,0.18,0.18,0,78.5,-1.26,0.0785,999,"549",0
1,0.18,0.18,0,906,1.19,0.906,999,"541",0
1,0.18,0.18,0,702.5,0.05,0.7025,999,"430",0
1,0.18,0.18,0,702.5,0.05,0.7025,999,"311",0
1,0.18,0.18,0,702.5,0.05,0.7025,999,"828",0
2,0.24,0.26,0.04,270.5,-0.45,0.2705,999,"782",0
