"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
55,0.67,0.68,0.04,357,-0.19,0.357,999,"668",-0.08
13,0.28,0.3,0.05,394,-0.38,0.394,999,"382",0
21,0.28,0.39,0.05,4,-2.18,0.004,999,"828",-0.09
34,0.41,0.52,0.06,44,-1.81,0.044,999,"748",-0.1
7,0.28,0.22,0.04,918,1.41,0.918,999,"669",0.06
5,0.25,0.18,0.04,954,1.61,0.954,999,"709",0.06
16,0.41,0.34,0.05,875,1.24,0.875,999,"352",0.09
3,0.16,0.14,0.05,646,0.42,0.646,999,"667",-0.01
24,0.47,0.43,0.05,739,0.74,0.739,999,"351",0.07
27,0.41,0.46,0.05,248,-0.75,0.248,999,"708",-0.02
11,0.33,0.28,0.05,856,1.12,0.856,999,"823",0.07
4,0.17,0.16,0.04,502,0.11,0.502,999,"509",-0.01
22,0.42,0.41,0.05,636,0.31,0.636,999,"391",0.04
8,0.23,0.24,0.04,492,-0.2,0.492,999,"908",0
17,0.42,0.35,0.05,895,1.39,0.895,999,"788",0.1
4,0.19,0.16,0.04,793,0.62,0.793,999,"499",0.01
11,0.39,0.28,0.05,976,2.25,0.976,999,"312",0.13
9,0.38,0.25,0.04,995,2.84,0.995,999,"589",0.14
5,0.24,0.19,0.05,892,1.28,0.892,999,"232",0.05
7,0.23,0.22,0.04,660,0.28,0.66,999,"581",0.02
21,0.42,0.39,0.06,701,0.55,0.701,999,"501",0.05
7,0.25,0.22,0.04,727,0.59,0.727,999,"541",0.03
2,0.13,0.1,0.05,601,0.61,0.601,999,"152",-0.03
2,0.06,0.1,0.05,279,-1.06,0.279,999,"392",-0.1
1,0.1,0.06,0.03,763.5,1.17,0.7635,999,"381",-0.05
16,0.3,0.34,0.05,245,-0.78,0.245,999,"422",-0.01
1,0.1,0.06,0.03,726.5,1.14,0.7265,999,"502",-0.05
2,0.1,0.11,0.05,397,-0.2,0.397,999,"867",-0.06
2,0.1,0.1,0.05,412.5,-0.02,0.4125,999,"582",-0.06
3,0.16,0.14,0.05,738,0.55,0.738,999,"233",-0.01
1,0.03,0.06,0.03,58.5,-0.97,0.0585,999,"193",-0.12
4,0.15,0.17,0.04,286,-0.23,0.286,999,"906",-0.03
3,0.13,0.14,0.05,317,-0.03,0.317,999,"827",-0.04
3,0.12,0.14,0.05,284,-0.38,0.284,999,"782",-0.05
