"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
7,0.24,0.41,0.07,18,-2.32,0.018,999,"748",-0.08
3,0.26,0.24,0.06,751,0.39,0.751,999,"352",0.05
18,0.63,0.75,0.07,53,-1.72,0.053,999,"708",0.06
3,0.32,0.24,0.06,904.5,1.43,0.9045,999,"312",0.1
1,0.12,0.12,0,148,-0.76,0.148,999,"382",-0.05
13,0.29,0.6,0.08,1,-3.96,0.001,999,"668",-0.17
1,0.12,0.12,0,403,-0.48,0.403,999,"500",-0.05
2,0.23,0.19,0.04,632.5,0.93,0.6325,999,"823",0.03
4,0.28,0.29,0.07,516,-0.05,0.516,999,"501",0.04
3,0.34,0.24,0.06,956.5,1.84,0.9565,999,"828",0.13
4,0.28,0.29,0.07,516,-0.05,0.516,999,"541",0.04
2,0.14,0.19,0.04,182.5,-1.14,0.1825,999,"581",-0.06
5,0.31,0.33,0.07,477,-0.24,0.477,999,"589",0.05
3,0.34,0.24,0.06,942,1.83,0.942,999,"788",0.13
2,0.14,0.18,0.04,191.5,-1.05,0.1915,999,"709",-0.06
2,0.14,0.19,0.04,182.5,-1.14,0.1825,999,"351",-0.06
1,0.12,0.12,0,403,-0.48,0.403,999,"391",-0.05
4,0.32,0.29,0.07,721,0.59,0.721,999,"422",0.08
2,0.17,0.19,0.04,486.5,-0.42,0.4865,999,"232",-0.03
4,0.3,0.29,0.06,706,0.26,0.706,999,"311",0.06
1,0.12,0.12,0,872.5,1.91,0.8725,999,"152",-0.05
1,0.12,0.12,0,403,-0.48,0.403,999,"269",-0.05
1,0.12,0.12,0,148,-0.76,0.148,999,"782",-0.05
