"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
9,0.23,0.25,0.02,105,-1.24,0.105,999,"669",0.02
33,0.46,0.52,0.03,30,-2.02,0.03,999,"748",0.02
6,0.2,0.21,0.02,391,-0.13,0.391,999,"667",0.03
10,0.23,0.27,0.02,70,-1.53,0.07,999,"788",0.02
8,0.25,0.24,0.02,766,0.7,0.766,999,"391",0.06
7,0.2,0.22,0.02,150,-0.94,0.15,999,"422",0.02
50,0.56,0.67,0.03,1,-4.16,0.001,999,"668",-0.06
31,0.38,0.5,0.03,1,-4.45,0.001,999,"708",-0.05
4,0.17,0.17,0.02,480,0.18,0.48,999,"908",0.02
1,0.07,0.07,0,86,-1.13,0.086,999,"470",-0.05
18,0.34,0.37,0.03,207,-0.81,0.207,999,"589",0.05
5,0.14,0.19,0.02,42,-2.31,0.042,999,"827",-0.03
11,0.32,0.28,0.02,980,1.83,0.98,999,"351",0.1
4,0.14,0.17,0.02,159,-1.05,0.159,999,"581",-0.01
10,0.24,0.27,0.02,94,-1.28,0.094,999,"828",0.02
7,0.23,0.22,0.02,596,0.28,0.596,999,"352",0.05
6,0.23,0.21,0.02,892,1.13,0.892,999,"312",0.06
2,0.08,0.11,0.02,169.5,-1.15,0.1695,999,"392",-0.05
1,0.07,0.07,0,86,-1.13,0.086,999,"588",-0.05
1,0.07,0.07,0,96.5,-1.08,0.0965,999,"541",-0.05
9,0.27,0.25,0.02,741,0.68,0.741,999,"501",0.06
9,0.22,0.25,0.02,96,-1.32,0.096,999,"823",0.02
2,0.1,0.11,0.02,513.5,-0.29,0.5135,999,"382",-0.03
1,0.07,0.07,0,681.5,1.05,0.6815,999,"154",-0.05
2,0.14,0.11,0.02,551,1.03,0.551,999,"232",0.01
1,0.07,0.07,0,831,1.23,0.831,999,"906",-0.05
2,0.08,0.11,0.03,47,-1.37,0.047,999,"782",-0.06
